html_url_repository,login,id,node_id,avatar_url,gravatar_id,url,html_url,followers_url,following_url,gists_url,starred_url,subscriptions_url,organizations_url,repos_url,events_url,received_events_url,type,site_admin,contributions,date
https://github.com/a-moi/political-argument-mining,a-moi,58444964,MDQ6VXNlcjU4NDQ0OTY0,https://avatars.githubusercontent.com/u/58444964?v=4,,https://api.github.com/users/a-moi,https://github.com/a-moi,https://api.github.com/users/a-moi/followers,https://api.github.com/users/a-moi/following{/other_user},https://api.github.com/users/a-moi/gists{/gist_id},https://api.github.com/users/a-moi/starred{/owner}{/repo},https://api.github.com/users/a-moi/subscriptions,https://api.github.com/users/a-moi/orgs,https://api.github.com/users/a-moi/repos,https://api.github.com/users/a-moi/events{/privacy},https://api.github.com/users/a-moi/received_events,User,False,48,2023-09-11
https://github.com/a-moi/tbbt-character-detection,a-moi,58444964,MDQ6VXNlcjU4NDQ0OTY0,https://avatars.githubusercontent.com/u/58444964?v=4,,https://api.github.com/users/a-moi,https://github.com/a-moi,https://api.github.com/users/a-moi/followers,https://api.github.com/users/a-moi/following{/other_user},https://api.github.com/users/a-moi/gists{/gist_id},https://api.github.com/users/a-moi/starred{/owner}{/repo},https://api.github.com/users/a-moi/subscriptions,https://api.github.com/users/a-moi/orgs,https://api.github.com/users/a-moi/repos,https://api.github.com/users/a-moi/events{/privacy},https://api.github.com/users/a-moi/received_events,User,False,6,2023-09-11
https://github.com/Abdelwahab86/DEM-Analysis,githubteacher,2132216,MDQ6VXNlcjIxMzIyMTY=,https://avatars.githubusercontent.com/u/2132216?v=4,,https://api.github.com/users/githubteacher,https://github.com/githubteacher,https://api.github.com/users/githubteacher/followers,https://api.github.com/users/githubteacher/following{/other_user},https://api.github.com/users/githubteacher/gists{/gist_id},https://api.github.com/users/githubteacher/starred{/owner}{/repo},https://api.github.com/users/githubteacher/subscriptions,https://api.github.com/users/githubteacher/orgs,https://api.github.com/users/githubteacher/repos,https://api.github.com/users/githubteacher/events{/privacy},https://api.github.com/users/githubteacher/received_events,User,False,15,2023-09-11
https://github.com/Abdelwahab86/DEM-Analysis,hectorsector,16547949,MDQ6VXNlcjE2NTQ3OTQ5,https://avatars.githubusercontent.com/u/16547949?v=4,,https://api.github.com/users/hectorsector,https://github.com/hectorsector,https://api.github.com/users/hectorsector/followers,https://api.github.com/users/hectorsector/following{/other_user},https://api.github.com/users/hectorsector/gists{/gist_id},https://api.github.com/users/hectorsector/starred{/owner}{/repo},https://api.github.com/users/hectorsector/subscriptions,https://api.github.com/users/hectorsector/orgs,https://api.github.com/users/hectorsector/repos,https://api.github.com/users/hectorsector/events{/privacy},https://api.github.com/users/hectorsector/received_events,User,True,8,2023-09-11
https://github.com/Abdelwahab86/DEM-Analysis,Abdelwahab86,49675057,MDQ6VXNlcjQ5Njc1MDU3,https://avatars.githubusercontent.com/u/49675057?v=4,,https://api.github.com/users/Abdelwahab86,https://github.com/Abdelwahab86,https://api.github.com/users/Abdelwahab86/followers,https://api.github.com/users/Abdelwahab86/following{/other_user},https://api.github.com/users/Abdelwahab86/gists{/gist_id},https://api.github.com/users/Abdelwahab86/starred{/owner}{/repo},https://api.github.com/users/Abdelwahab86/subscriptions,https://api.github.com/users/Abdelwahab86/orgs,https://api.github.com/users/Abdelwahab86/repos,https://api.github.com/users/Abdelwahab86/events{/privacy},https://api.github.com/users/Abdelwahab86/received_events,User,False,4,2023-09-11
https://github.com/Abdelwahab86/DEM-Analysis,brianamarie,9906718,MDQ6VXNlcjk5MDY3MTg=,https://avatars.githubusercontent.com/u/9906718?v=4,,https://api.github.com/users/brianamarie,https://github.com/brianamarie,https://api.github.com/users/brianamarie/followers,https://api.github.com/users/brianamarie/following{/other_user},https://api.github.com/users/brianamarie/gists{/gist_id},https://api.github.com/users/brianamarie/starred{/owner}{/repo},https://api.github.com/users/brianamarie/subscriptions,https://api.github.com/users/brianamarie/orgs,https://api.github.com/users/brianamarie/repos,https://api.github.com/users/brianamarie/events{/privacy},https://api.github.com/users/brianamarie/received_events,User,False,2,2023-09-11
https://github.com/Abdelwahab86/DEM-Analysis,JasonEtco,10660468,MDQ6VXNlcjEwNjYwNDY4,https://avatars.githubusercontent.com/u/10660468?v=4,,https://api.github.com/users/JasonEtco,https://github.com/JasonEtco,https://api.github.com/users/JasonEtco/followers,https://api.github.com/users/JasonEtco/following{/other_user},https://api.github.com/users/JasonEtco/gists{/gist_id},https://api.github.com/users/JasonEtco/starred{/owner}{/repo},https://api.github.com/users/JasonEtco/subscriptions,https://api.github.com/users/JasonEtco/orgs,https://api.github.com/users/JasonEtco/repos,https://api.github.com/users/JasonEtco/events{/privacy},https://api.github.com/users/JasonEtco/received_events,User,True,2,2023-09-11
https://github.com/Abdelwahab86/DEM-Analysis,dependabot[bot],49699333,MDM6Qm90NDk2OTkzMzM=,https://avatars.githubusercontent.com/in/29110?v=4,,https://api.github.com/users/dependabot%5Bbot%5D,https://github.com/apps/dependabot,https://api.github.com/users/dependabot%5Bbot%5D/followers,https://api.github.com/users/dependabot%5Bbot%5D/following{/other_user},https://api.github.com/users/dependabot%5Bbot%5D/gists{/gist_id},https://api.github.com/users/dependabot%5Bbot%5D/starred{/owner}{/repo},https://api.github.com/users/dependabot%5Bbot%5D/subscriptions,https://api.github.com/users/dependabot%5Bbot%5D/orgs,https://api.github.com/users/dependabot%5Bbot%5D/repos,https://api.github.com/users/dependabot%5Bbot%5D/events{/privacy},https://api.github.com/users/dependabot%5Bbot%5D/received_events,Bot,False,2,2023-09-11
https://github.com/Abdelwahab86/DEM-Analysis,snyk-bot,19733683,MDQ6VXNlcjE5NzMzNjgz,https://avatars.githubusercontent.com/u/19733683?v=4,,https://api.github.com/users/snyk-bot,https://github.com/snyk-bot,https://api.github.com/users/snyk-bot/followers,https://api.github.com/users/snyk-bot/following{/other_user},https://api.github.com/users/snyk-bot/gists{/gist_id},https://api.github.com/users/snyk-bot/starred{/owner}{/repo},https://api.github.com/users/snyk-bot/subscriptions,https://api.github.com/users/snyk-bot/orgs,https://api.github.com/users/snyk-bot/repos,https://api.github.com/users/snyk-bot/events{/privacy},https://api.github.com/users/snyk-bot/received_events,User,False,2,2023-09-11
https://github.com/Abdelwahab86/DEM-Analysis,carolynshin,6924712,MDQ6VXNlcjY5MjQ3MTI=,https://avatars.githubusercontent.com/u/6924712?v=4,,https://api.github.com/users/carolynshin,https://github.com/carolynshin,https://api.github.com/users/carolynshin/followers,https://api.github.com/users/carolynshin/following{/other_user},https://api.github.com/users/carolynshin/gists{/gist_id},https://api.github.com/users/carolynshin/starred{/owner}{/repo},https://api.github.com/users/carolynshin/subscriptions,https://api.github.com/users/carolynshin/orgs,https://api.github.com/users/carolynshin/repos,https://api.github.com/users/carolynshin/events{/privacy},https://api.github.com/users/carolynshin/received_events,User,False,1,2023-09-11
